iter	Passed	Remaining
691	32843	14618
692	32893	14572
693	32944	14525
694	32990	14477
695	33034	14428
696	33080	14380
697	33129	14334
698	33174	14285
699	33224	14239
700	33271	14191
701	33320	14144
702	33367	14097
703	33417	14050
704	33463	14002
705	33513	13955
706	33561	13908
707	33606	13860
708	33652	13812
709	33701	13765
710	33748	13717
711	33795	13670
712	33910	13649
713	33960	13603
714	34008	13555
715	34054	13507
716	34099	13459
717	34146	13411
718	34192	13363
719	34239	13315
720	34287	13268
721	34336	13220
722	34386	13174
723	34432	13126
724	34479	13078
725	34526	13030
726	34571	12982
727	34622	12935
728	34668	12887
729	34716	12840
730	34763	12792
731	34807	12743
732	34856	12696
733	34905	12649
734	34954	12602
735	35000	12554
736	35045	12505
737	35097	12460
738	35145	12412
739	35193	12365
740	35240	12317
741	35289	12270
742	35337	12223
743	35386	12175
744	35432	12127
745	35478	12079
746	35523	12031
747	35574	11985
748	35620	11937
749	35669	11889
750	35714	11841
751	35763	11794
752	35811	11746
753	35860	11699
754	35905	11651
755	35954	11604
756	36002	11557
757	36050	11509
758	36098	11461
759	36144	11414
760	36190	11365
761	36239	11318
762	36290	11272
763	36336	11224
764	36380	11175
765	36431	11129
766	36481	11082
767	36527	11034
768	36574	10986
769	36623	10939
770	36669	10891
771	36717	10844
772	36768	10797
773	36818	10750
774	36865	10702
775	36914	10655
776	36964	10608
777	37018	10563
778	37065	10515
779	37112	10467
780	37163	10420
781	37208	10372
782	37259	10326
783	37308	10278
784	37355	10231
785	37402	10183
786	37450	10135
787	37499	10088
788	37546	10040
789	37589	9992
790	37639	9945
791	37685	9897
792	37734	9849
793	37783	9802
794	37806	9748
795	37853	9701
796	37898	9652
797	37945	9605
798	37990	9557
799	38035	9508
800	38081	9460
801	38129	9413
802	38178	9366
803	38226	9318
804	38274	9271
805	38319	9223
806	38368	9176
807	38416	9128
808	38465	9081
809	38514	9034
810	38561	8986
811	38606	8938
812	38657	8891
813	38702	8843
814	38749	8795
815	38796	8748
816	38844	8700
817	38893	8653
818	38937	8605
819	38983	8557
820	39028	8509
821	39074	8461
822	39122	8413
823	39171	8366
824	39218	8319
825	39267	8271
826	39313	8224
827	39360	8176
828	39409	8129
829	39457	8081
830	39502	8033
831	39548	7985
832	39597	7938
833	39647	7891
834	39695	7844
835	39744	7796
836	39790	7748
837	39841	7701
838	39888	7654
839	39938	7607
840	39986	7559
841	40032	7512
842	40081	7464
843	40127	7416
844	40176	7369
845	40222	7321
846	40271	7274
847	40318	7226
848	40368	7179
849	40419	7132
850	40468	7085
851	40513	7037
852	40562	6990
853	40610	6942
854	40655	6894
855	40702	6847
856	40748	6799
857	40798	6752
858	40841	6703
859	40887	6656
860	40935	6608
861	40983	6561
862	41033	6513
863	41077	6465
864	41125	6418
865	41170	6370
866	41218	6322
867	41274	6276
868	41327	6230
869	41378	6182
870	41430	6136
871	41477	6088
872	41527	6041
873	41574	5993
874	41624	5946
875	41671	5898
876	41719	5851
877	41764	5803
878	41810	5755
879	41858	5707
880	41904	5660
881	41951	5612
882	42000	5565
883	42049	5517
884	42100	5470
885	42148	5423
886	42197	5375
887	42245	5328
888	42290	5280
889	42339	5232
890	42390	5185
891	42438	5138
892	42483	5090
893	42529	5042
894	42573	4994
895	42622	4947
896	42672	4899
897	42723	4852
898	42771	4805
899	42818	4757
900	42869	4710
901	42917	4662
902	42966	4615
903	43015	4568
904	43061	4520
905	43107	4472
906	43161	4425
907	43209	4378
908	43259	4330
909	43306	4283
910	43352	4235
911	43403	4188
912	43452	4140
913	43502	4093
914	43548	4045
915	43595	3997
916	43644	3950
917	43689	3902
918	43739	3855
919	43784	3807
920	43831	3759
921	43878	3712
922	43924	3664
923	43971	3616
924	44019	3569
925	44065	3521
926	44112	3473
927	44158	3426
928	44206	3378
929	44251	3330
930	44300	3283
931	44347	3235
932	44400	3188
933	44448	3140
934	44499	3093
